player_id,full_name,emery_shots,emery_goals,emery_xg,emery_matches_with_shot,emery_goals_minus_xg,emery_goals_minus_xg_per_shot,not_emery_shots,not_emery_goals,not_emery_xg,not_emery_matches_with_shot,not_emery_goals_minus_xg,not_emery_goals_minus_xg_per_shot
244bc2c8,Boulaye Dia,42,6,7.7700000000000005,22,-1.7700000000000005,-0.042142857142857156,251.0,56.0,43.72,141.0,12.280000000000001,0.048924302788844624
45af8a54,Marco Asensio,31,6,7.44,12,-1.4400000000000004,-0.04645161290322582,406.0,49.0,45.33,180.0,3.6700000000000017,0.009039408866995079
dd0daf32,Henrikh Mkhitaryan,62,6,6.66,32,-0.6600000000000001,-0.010645161290322582,392.0,41.0,41.75,203.0,-0.75,-0.001913265306122449
5a626448,Moi Gómez,40,6,6.53,27,-0.5300000000000002,-0.013250000000000007,105.0,13.0,9.19,75.0,3.8100000000000005,0.03628571428571429
56f7a928,Youri Tielemans,82,8,6.14,46,1.8600000000000003,0.022682926829268295,323.0,27.0,22.84,157.0,4.16,0.012879256965944273
2389cdc2,Matty Cash,67,4,6.1,44,-2.0999999999999996,-0.03134328358208955,51.0,4.0,3.12,33.0,0.8799999999999999,0.017254901960784313
d7553721,Giovani Lo Celso,80,6,6.08,51,-0.08000000000000007,-0.0010000000000000009,226.0,31.0,24.400000000000002,112.0,6.599999999999998,0.02920353982300884
81d5c497,Fernando Niño,16,5,5.76,11,-0.7599999999999998,-0.04749999999999999,25.0,3.0,3.99,15.0,-0.9900000000000002,-0.03960000000000001
ef619b0b,Aaron Ramsey,45,6,5.73,24,0.2699999999999996,0.005999999999999991,173.0,18.0,22.580000000000002,81.0,-4.580000000000002,-0.02647398843930637
0313a347,Ezri Konsa,46,4,5.55,37,-1.5499999999999998,-0.033695652173913036,51.0,5.0,5.93,40.0,-0.9299999999999997,-0.018235294117647054
63f04c6c,Alfonso Pedraza,74,5,5.46,48,-0.45999999999999996,-0.006216216216216216,132.0,9.0,10.03,85.0,-1.0299999999999994,-0.007803030303030298
09a9e921,Carlos Bacca,32,8,5.15,17,2.8499999999999996,0.08906249999999999,155.0,27.0,26.79,80.0,0.21000000000000085,0.0013548387096774248
9c36ed83,Nicolas Jackson,25,3,4.83,16,-1.83,-0.0732,192.0,37.0,39.77,78.0,-2.770000000000003,-0.014427083333333349
66b76d44,Emi Buendía,39,4,4.78,22,-0.7800000000000002,-0.020000000000000007,106.0,8.0,8.71,59.0,-0.7100000000000009,-0.006698113207547178
5acc4a10,Étienne Capoue,43,4,4.76,34,-0.7599999999999998,-0.017674418604651156,102.0,7.0,5.81,68.0,1.1900000000000004,0.01166666666666667
4a478107,José Luis Morales,19,5,4.34,10,0.6600000000000001,0.03473684210526316,371.0,66.0,61.94,186.0,4.060000000000002,0.010943396226415101
7460ca0d,Daniel Parejo,62,6,4.25,46,1.75,0.028225806451612902,204.0,36.0,37.64,128.0,-1.6400000000000006,-0.008039215686274512
