Date,Team,Country
1940-10-28,Sevilla,ESP
1940-10-29,Sevilla,ESP
1940-10-30,Sevilla,ESP
1940-10-31,Sevilla,ESP
1940-11-01,Sevilla,ESP
1940-11-02,Sevilla,ESP
1940-11-03,Sevilla,ESP
1940-11-04,Atletico,ESP
1940-11-05,Atletico,ESP
1940-11-06,Atletico,ESP
1940-11-07,Atletico,ESP
1940-11-08,Atletico,ESP
1940-11-09,Atletico,ESP
1940-11-10,Atletico,ESP
1940-11-11,Sevilla,ESP
1940-11-12,Sevilla,ESP
1940-11-13,Sevilla,ESP
1940-11-14,Sevilla,ESP
1940-11-15,Sevilla,ESP
1940-11-16,Sevilla,ESP
1940-11-17,Sevilla,ESP
1940-11-18,Atletico,ESP
1940-11-19,Atletico,ESP
1940-11-20,Atletico,ESP
1940-11-21,Atletico,ESP
1940-11-22,Atletico,ESP
1940-11-23,Atletico,ESP
1940-11-24,Atletico,ESP
1940-11-25,Atletico,ESP
1940-11-26,Atletico,ESP
1940-11-27,Atletico,ESP
1940-11-28,Atletico,ESP
1940-11-29,Atletico,ESP
1940-11-30,Atletico,ESP
1940-12-01,Atletico,ESP
1940-12-02,Atletico,ESP
1940-12-03,Atletico,ESP
1940-12-04,Atletico,ESP
1940-12-05,Atletico,ESP
1940-12-06,Atletico,ESP
1940-12-07,Atletico,ESP
1940-12-08,Atletico,ESP
1940-12-09,Atletico,ESP
1940-12-10,Atletico,ESP
1940-12-11,Atletico,ESP
1940-12-12,Atletico,ESP
1940-12-13,Atletico,ESP
1940-12-14,Atletico,ESP
1940-12-15,Atletico,ESP
1940-12-16,Atletico,ESP
1940-12-17,Atletico,ESP
1940-12-18,Atletico,ESP
1940-12-19,Atletico,ESP
1940-12-20,Atletico,ESP
1940-12-21,Atletico,ESP
1940-12-22,Atletico,ESP
1940-12-23,Atletico,ESP
1940-12-24,Atletico,ESP
1940-12-25,Atletico,ESP
1940-12-26,Atletico,ESP
1940-12-27,Atletico,ESP
1940-12-28,Atletico,ESP
1940-12-29,Atletico,ESP
1940-12-30,Atletico,ESP
1940-12-31,Atletico,ESP
1941-01-01,Atletico,ESP
1941-01-02,Atletico,ESP
1941-01-03,Atletico,ESP
1941-01-04,Atletico,ESP
1941-01-05,Atletico,ESP
1941-01-06,Atletico,ESP
1941-01-07,Atletico,ESP
1941-01-08,Atletico,ESP
1941-01-09,Atletico,ESP
1941-01-10,Atletico,ESP
1941-01-11,Atletico,ESP
1941-01-12,Atletico,ESP
1941-01-13,Atletico,ESP
1941-01-14,Atletico,ESP
1941-01-15,Atletico,ESP
1941-01-16,Atletico,ESP
1941-01-17,Atletico,ESP
1941-01-18,Atletico,ESP
1941-01-19,Atletico,ESP
1941-01-20,Atletico,ESP
1941-01-21,Atletico,ESP
1941-01-22,Atletico,ESP
1941-01-23,Atletico,ESP
1941-01-24,Atletico,ESP
1941-01-25,Atletico,ESP
1941-01-26,Atletico,ESP
1941-01-27,Atletico,ESP
1941-01-28,Atletico,ESP
1941-01-29,Atletico,ESP
1941-01-30,Atletico,ESP
1941-01-31,Atletico,ESP
1941-02-01,Atletico,ESP
1941-02-02,Atletico,ESP
1941-02-03,Atletico,ESP
1941-02-04,Atletico,ESP
1941-02-05,Atletico,ESP
1941-02-06,Atletico,ESP
1941-02-07,Atletico,ESP
1941-02-08,Atletico,ESP
1941-02-09,Atletico,ESP
1941-02-10,Atletico,ESP
1941-02-11,Atletico,ESP
1941-02-12,Atletico,ESP
1941-02-13,Atletico,ESP
1941-02-14,Atletico,ESP
1941-02-15,Atletico,ESP
1941-02-16,Atletico,ESP
1941-02-17,Atletico,ESP
1941-02-18,Atletico,ESP
1941-02-19,Atletico,ESP
1941-02-20,Atletico,ESP
1941-02-21,Atletico,ESP
1941-02-22,Atletico,ESP
1941-02-23,Atletico,ESP
1941-02-24,Atletico,ESP
1941-02-25,Atletico,ESP
1941-02-26,Atletico,ESP
1941-02-27,Atletico,ESP
1941-02-28,Atletico,ESP
1941-03-01,Atletico,ESP
1941-03-02,Atletico,ESP
1941-03-03,Atletico,ESP
1941-03-04,Atletico,ESP
1941-03-05,Atletico,ESP
1941-03-06,Atletico,ESP
1941-03-07,Atletico,ESP
1941-03-08,Atletico,ESP
1941-03-09,Atletico,ESP
1941-03-10,Atletico,ESP
1941-03-11,Atletico,ESP
1941-03-12,Atletico,ESP
1941-03-13,Atletico,ESP
1941-03-14,Atletico,ESP
1941-03-15,Atletico,ESP
1941-03-16,Atletico,ESP
1941-03-17,Atletico,ESP
1941-03-18,Atletico,ESP
1941-03-19,Atletico,ESP
1941-03-20,Atletico,ESP
1941-03-21,Atletico,ESP
1941-03-22,Atletico,ESP
1941-03-23,Atletico,ESP
1941-03-24,Atletico,ESP
1941-03-25,Atletico,ESP
1941-03-26,Atletico,ESP
1941-03-27,Atletico,ESP
1941-03-28,Atletico,ESP
1941-03-29,Atletico,ESP
1941-03-30,Atletico,ESP
1941-03-31,Atletico,ESP
1941-04-01,Atletico,ESP
1941-04-02,Atletico,ESP
1941-04-03,Atletico,ESP
1941-04-04,Atletico,ESP
1941-04-05,Atletico,ESP
1941-04-06,Atletico,ESP
1941-04-07,Atletico,ESP
1941-04-08,Atletico,ESP
1941-04-09,Atletico,ESP
1941-04-10,Atletico,ESP
1941-04-11,Atletico,ESP
1941-04-12,Atletico,ESP
1941-04-13,Atletico,ESP
1941-04-14,Atletico,ESP
1941-04-15,Atletico,ESP
1941-04-16,Atletico,ESP
1941-04-17,Atletico,ESP
1941-04-18,Atletico,ESP
1941-04-19,Atletico,ESP
1941-04-20,Atletico,ESP
1941-04-21,Atletico,ESP
1941-04-22,Atletico,ESP
1941-04-23,Atletico,ESP
1941-04-24,Atletico,ESP
1941-04-25,Atletico,ESP
1941-04-26,Atletico,ESP
1941-04-27,Atletico,ESP
1941-04-28,Atletico,ESP
1941-04-29,Atletico,ESP
1941-04-30,Atletico,ESP
1941-05-01,Atletico,ESP
1941-05-02,Atletico,ESP
1941-05-03,Atletico,ESP
1941-05-04,Atletico,ESP
1941-05-05,Atletico,ESP
1941-05-06,Atletico,ESP
1941-05-07,Atletico,ESP
1941-05-08,Atletico,ESP
1941-05-09,Atletico,ESP
1941-05-10,Atletico,ESP
1941-05-11,Atletico,ESP
