coach_id,coach_name,team_id,team_name,games_played,win,draw,loss,points,goals_for,goals_against,goal_difference,xg_for,xg_against,xg_diff,xg_non_penalty_diff,xg_open_play_diff,xg_set_play_diff,field_tilt,shot_share
656595,Erik ten Hag,10260,Man U,84,0.5119047619047619,0.16666666666666666,0.32142857142857145,1.7023809523809523,1.4285714285714286,1.3333333333333333,0.09523809523809534,1.644404761904762,1.5958333333333334,0.048571428571428564,0.0764285714285714,0.2051190476190476,-0.1302409638554217,0.5031637916661653,0.5118227426692757
23630,Eddie Howe,10261,Newcastle,158,0.4873417721518987,0.22151898734177214,0.2911392405063291,1.6835443037974684,1.7215189873417722,1.259493670886076,0.4620253164556962,1.7122784810126583,1.290379746835443,0.4218987341772152,0.3566455696202531,0.24563291139240503,0.11259493670886075,0.5458052413073035,0.5305219517999974
939226,Pepijn Lijnders,8650,Liverpool,3,0.3333333333333333,0.6666666666666666,0.0,1.6666666666666667,2.0,1.3333333333333333,0.6666666666666667,1.4833333333333334,1.21,0.27333333333333326,0.5366666666666666,0.47,0.06,0.5871247529357052,0.5499999999999999
41763,Cristian Stellini,8586,Spurs,8,0.5,0.125,0.375,1.625,1.375,1.5,-0.125,1.3175,1.28,0.03749999999999992,-0.06125000000000003,-0.028749999999999942,-0.03500000000000001,0.5038567964051911,0.5083884703918438
38711,Keith Andrews,9937,Brentford,21,0.47619047619047616,0.14285714285714285,0.38095238095238093,1.5714285714285714,1.6666666666666667,1.3333333333333333,0.3333333333333335,1.6257142857142857,1.3647619047619048,0.260952380952381,0.1857142857142857,0.017142857142857116,0.17047619047619048,0.47542441178892697,0.44425940413413945
208516,Fabian Hürzeler,10204,Brighton,58,0.39655172413793105,0.3620689655172414,0.2413793103448276,1.5517241379310345,1.6551724137931034,1.4482758620689655,0.2068965517241379,1.5675862068965518,1.4665517241379311,0.10103448275862068,0.12810344827586204,0.1129310344827586,0.015689655172413795,0.5425409937888072,0.5397803896409383
148889,Ralf Rangnick,10260,Man U,24,0.4166666666666667,0.2916666666666667,0.2916666666666667,1.5416666666666667,1.375,1.375,0.0,1.4574999999999998,1.2991666666666666,0.15833333333333327,0.1258333333333333,0.15958333333333338,-0.032499999999999994,0.5246805251880124,0.5043667369182286
78626,David Moyes,8668,Everton,40,0.4,0.3,0.3,1.5,1.25,1.1,0.1499999999999999,1.18975,1.25725,-0.06749999999999999,-0.06749999999999998,-0.10699999999999996,0.04124999999999999,0.4671029877561718,0.4532398691863565
1415967,Aaron Danks,10252,A Villa,2,0.5,0.0,0.5,1.5,2.0,2.0,0.0,1.635,2.195,-0.5599999999999999,-0.5599999999999999,-0.33499999999999985,-0.22000000000000003,0.40404672507300793,0.37166900420757365
1324876,Osian Roberts,9826,C Palace,2,0.5,0.0,0.5,1.5,1.5,1.5,0.0,1.15,1.6149999999999998,-0.46499999999999997,-0.8599999999999999,-0.9750000000000001,0.11499999999999999,0.4135934819897084,0.40168970814132104
25941,Nuno Espirito Santo,8586,Spurs,10,0.5,0.0,0.5,1.5,0.9,1.6,-0.7000000000000001,1.0050000000000001,1.425,-0.42000000000000004,-0.42000000000000004,-0.418,-0.004000000000000006,0.416918400272764,0.4163791213738158
24347,Graham Potter,10204,Brighton,43,0.37209302325581395,0.3488372093023256,0.27906976744186046,1.4651162790697674,1.2093023255813953,1.1162790697674418,0.09302325581395343,1.3383720930232557,1.1672093023255814,0.17116279069767437,0.06139534883720926,0.07441860465116276,-0.013023255813953492,0.5247889870740923,0.5138171044879755
43009,Oliver Glasner,9826,C Palace,72,0.375,0.3333333333333333,0.2916666666666667,1.4583333333333333,1.4166666666666667,1.2222222222222223,0.19444444444444442,1.605138888888889,1.299027777777778,0.3061111111111111,0.2516666666666667,0.23069444444444442,0.020555555555555553,0.48886422890840353,0.5176340569935204
1381583,Regis Le Bris,8472,Sunderland,21,0.3333333333333333,0.42857142857142855,0.23809523809523808,1.4285714285714286,1.0,1.0476190476190477,-0.04761904761904767,0.8723809523809524,1.4776190476190476,-0.6052380952380952,-0.68,-0.6947619047619048,0.015238095238095243,0.3777209268741233,0.40006681036195413
24151,Ole Gunnar Solskjær,10260,Man U,12,0.4166666666666667,0.16666666666666666,0.4166666666666667,1.4166666666666667,1.6666666666666667,1.75,-0.08333333333333326,1.5283333333333333,1.5916666666666668,-0.06333333333333334,0.0025000000000000022,0.08750000000000001,-0.08416666666666668,0.5304158582036668,0.5126305207551914
25941,Nuno Espirito Santo,10203,Nottm For,58,0.39655172413793105,0.22413793103448276,0.3793103448275862,1.4137931034482758,1.5,1.4827586206896552,0.01724137931034475,1.2948275862068965,1.3641379310344828,-0.06931034482758622,-0.0286206896551724,-0.013793103448275869,-0.013620689655172418,0.4291767204941627,0.4683999395975652
33877,Mike Jackson,8191,Burnley,8,0.375,0.25,0.375,1.375,1.125,1.125,0.0,1.5350000000000001,1.54,-0.004999999999999977,-0.004999999999999963,-0.25875,0.25,0.4553097542079305,0.472924336830413
164124,Marco Silva,9879,Fulham,134,0.3880597014925373,0.208955223880597,0.40298507462686567,1.373134328358209,1.4402985074626866,1.455223880597015,-0.014925373134328401,1.2821641791044776,1.5302985074626865,-0.24813432835820895,-0.20694029850746268,-0.11,-0.09694029850746269,0.4840430214631944,0.4936279512559969
292198,Ange Postecoglou,8586,Spurs,76,0.40789473684210525,0.14473684210526316,0.4473684210526316,1.368421052631579,1.8157894736842106,1.6578947368421053,0.1578947368421053,1.6926315789473683,1.6964473684210528,-0.003815789473684211,0.037763157894736846,0.14710526315789474,-0.10907894736842104,0.5462130101556394,0.5181693191840309
42044,Roberto De Zerbi,10204,Brighton,67,0.3582089552238806,0.2835820895522388,0.3582089552238806,1.3582089552238805,1.6417910447761195,1.6119402985074627,0.029850746268656803,1.7040298507462688,1.4625373134328357,0.2414925373134328,0.33567164179104475,0.3038805970149254,0.032238805970149255,0.5677599862519337,0.5714816429368303
396454,Julen Lopetegui,8602,Wolves,23,0.391304347826087,0.17391304347826086,0.43478260869565216,1.3478260869565217,1.0,1.4782608695652173,-0.4782608695652173,0.97,1.7778260869565217,-0.8078260869565217,-0.7734782608695652,-0.6069565217391305,-0.16652173913043478,0.3636782177248923,0.3947048513924252
33025,Andoni Iraola,8678,Bournemouth,98,0.3469387755102041,0.29591836734693877,0.35714285714285715,1.336734693877551,1.5,1.5714285714285714,-0.0714285714285714,1.593298969072165,1.4417525773195876,0.1515463917525773,0.15969072164948453,0.09917525773195876,0.06082474226804123,0.5048679839994158,0.5326989585354731
11238,Thomas Frank,9937,Brentford,152,0.35526315789473684,0.25,0.39473684210526316,1.3157894736842106,1.5,1.4736842105263157,0.026315789473684292,1.49,1.4040131578947368,0.08598684210526317,0.018421052631578953,-0.14907894736842106,0.16664473684210526,0.4786522815477591,0.4448858380820306
78626,David Moyes,8654,West Ham,114,0.35964912280701755,0.21929824561403508,0.42105263157894735,1.2982456140350878,1.4210526315789473,1.5789473684210527,-0.1578947368421053,1.3657894736842104,1.5878070175438597,-0.22201754385964914,-0.20114035087719298,-0.24956140350877193,0.047982456140350876,0.426923848335556,0.4509475251958865
