year,mean_home_advantage,median_home_advantage,matches,rolling_5yr_mean_home_advantage
1955,196.37079074935903,194.95683210474772,139,196.5176363656467
1956,195.06355687177256,193.41723402353176,187,196.7350751677021
1957,194.35518172709075,193.80238321801218,192,196.07414800149363
1958,190.22312479593393,192.29112080287516,140,194.90129799154133
1959,193.38111561015546,192.6284245872723,189,193.87875395086235
1960,198.19192051665215,198.8775142707333,203,194.24297990432098
1961,198.8344608190361,197.15201569624236,207,194.99716069377368
1962,198.58281218755303,196.77547395957689,213,195.84268678586614
1963,196.55564662778295,194.8484220814138,248,197.10919115223595
1964,192.7509721364895,191.2154410552168,200,196.98316245750274
1965,197.965065654447,194.89489840908956,326,196.93779148506172
1966,197.78324575486982,194.53779369846663,251,196.72754847222845
1967,197.89872206977503,196.1794345358157,343,196.59073044867287
1968,202.1257074022279,199.15261788061977,287,197.70474260356187
1969,201.20070813716296,196.9718069264528,329,199.39468980369654
1970,203.2888415056403,197.21006303969176,242,200.4594449739352
1971,201.68580090947594,200.15505946339084,369,201.23995600485642
1972,201.90643083070287,200.63479149417213,362,202.041497757042
1973,202.2849853894786,201.1793150504727,362,202.07335335449216
1974,203.22947151976985,199.57296384178116,280,202.47910603101352
1975,205.32512060284182,204.27263926942112,397,202.88636185045382
1976,203.65674621304385,200.7075825477414,375,203.28055091116738
1977,207.03424214246743,205.3552040161804,411,204.30611317352032
1978,204.86881495412152,205.0948054820163,287,204.8228790864489
1979,206.96586493594913,205.69891200352941,392,205.57015776968473
1980,208.24131108605346,207.53787021519668,437,206.1533958663271
1981,207.27790218396456,207.22743324238877,425,206.8776270605112
1982,207.83208197152814,210.3503924068552,280,207.03719502632333
1983,209.23228675205556,209.59246946561876,504,207.90988938591016
1984,206.83807314416416,207.92121993899113,415,207.88433102755317
1985,211.51835686762956,207.53347669689293,536,208.5397401838684
1986,207.2448126963974,207.40591979875063,287,208.53312228635497
1987,209.82566976615834,208.25579044332284,456,208.931839845281
1988,207.38094683525182,205.3214166400529,427,208.5615718619202
1989,211.3076018113624,207.95091454448354,502,209.4554775953599
1990,206.48444840970188,203.52074569153424,350,208.44869590377434
1991,210.36089476263237,208.8521630680467,361,209.07191231702137
1992,207.23264340789663,205.66117893322843,512,208.553307045369
1993,213.70890065771377,210.7140473067821,578,209.8188978098614
1994,207.93486340733892,207.23556108228473,432,209.14435012905673
1995,206.76572034019676,205.98928805988965,519,209.2006045151557
1996,208.97214249914234,209.58053534159063,660,208.9228540624577
1997,213.562362236685,211.96763250023884,743,210.18879782821537
1998,206.34739836452272,202.50396826179065,505,208.71649736957716
1999,209.64808663701712,206.28826939416598,586,209.05914201551278
2000,214.73082087871921,212.52538454389224,801,210.6521621232173
2001,213.79134288336843,212.3126992063093,821,211.6160022000625
2002,205.83195256680006,204.0244674225852,533,210.0699202660855
2003,209.67827798801108,206.7753340689472,729,210.7360961907832
2004,209.74963280233524,208.30620907688768,830,210.75640542384681
2005,210.41422994348264,211.9434104639776,628,209.89308723679952
2006,205.0110992962526,200.79910250495823,558,208.13703851937635
2007,207.77079157474932,204.6754968519708,728,208.52480632096618
2008,210.22273811776054,207.38754807236467,862,208.63369834691608
2009,210.0530094849023,205.86118030261355,689,208.69437368342946
2010,206.89423757792676,202.14536314884657,569,207.99037521031832
2011,205.76214677562126,202.7390539950649,828,208.14058470619202
2012,210.38604554553845,206.16033255306257,718,208.66363550034984
2013,209.60331988527116,205.03165397093673,707,208.53975185385198
2014,206.61108619526624,200.652583729112,613,207.85136719592475
2015,205.0775761100962,197.71013234046825,761,207.4880349023587
2016,205.3993274877463,199.34354709651709,721,207.4154710447837
2017,206.56714685722238,201.6158657768193,664,206.65169130712047
2018,199.70555982217456,193.86954420458025,650,204.67213929450114
2019,201.14728586777414,196.27628217122435,798,203.5793792290027
2020,195.76778145723668,191.19917960120648,316,201.7174202984308
2021,204.5068137330622,198.6378884207475,761,201.538917547494
2022,200.41725146496248,193.1426244141649,604,200.308938469042
2023,200.05888152492366,192.73836916487892,758,200.37960280959183
2024,201.6433093291477,195.6989899077427,796,200.47880750186656
2025,201.39321463829572,195.03656790881016,716,201.60389413807837
2026,196.72460698943658,186.64977540253278,112,200.04745278935323
