team_name,matches,xg_for,xg_for_regularplay,xg_for_regularplay_pct,xg_for_fromcorner,xg_for_fromcorner_pct,xg_for_fastbreak,xg_for_fastbreak_pct,xg_for_penalty,xg_for_penalty_pct,xg_for_setpiece,xg_for_setpiece_pct,xg_for_throwinsetpiece,xg_for_throwinsetpiece_pct,xg_for_freekick,xg_for_freekick_pct,xg_for_individualplay,xg_for_individualplay_pct,xg_against,xg_against_regularplay,xg_against_regularplay_pct,xg_against_fromcorner,xg_against_fromcorner_pct,xg_against_fastbreak,xg_against_fastbreak_pct,xg_against_penalty,xg_against_penalty_pct,xg_against_setpiece,xg_against_setpiece_pct,xg_against_throwinsetpiece,xg_against_throwinsetpiece_pct,xg_against_freekick,xg_against_freekick_pct,xg_against_individualplay,xg_against_individualplay_pct
Newcastle United,22,33.72541254401803,17.46778502687812,0.5179413299712602,5.74043093342334,0.17021084400171516,2.3960667606443167,0.07104632915956172,3.1536,0.09350812227675367,2.5461386889219284,0.0754961465808235,2.0284748319536448,0.06014677594547146,0.27033712714910507,0.00801582862170371,0.12257917504757643,0.0036346234427106702,25.065916014020146,12.124890950042754,0.4837202415926442,2.1995205865241587,0.08774945967639476,5.244133252650499,0.20921370875563824,2.3651999999999997,0.09435920868310058,1.60937231592834,0.06420560553335326,1.0873785130679607,0.04338076104857912,0.3687998242676258,0.014713199551987032,0.06662057153880596,0.002657815158302733
Aston Villa,22,28.38577672187239,18.999441465362906,0.669329631227708,3.4969127448275685,0.12319242764046177,2.719866495579481,0.09581793453211072,0.0,0.0,1.2635813960805535,0.04451459646361951,1.102445237338543,0.038837945078637366,0.7029969468712807,0.02476581683000392,0.10053243581205606,0.0035416482274586397,31.724631729779393,17.991304989438504,0.567108395226866,5.649915655775368,0.1780923953317915,2.076574834063649,0.06545623135206964,1.5768,0.049702704618628676,2.112797119654715,0.06659800301705211,1.8024955308064818,0.05681690952820451,0.4423459880053997,0.013943297806359617,0.0723976120352745,0.002282063119027984
West Ham United,22,25.658281711007653,11.720401340164244,0.45678823984289163,5.894140576012433,0.22971688604867835,4.639495715498924,0.18081864435639644,1.5768,0.06145384237961412,1.2376955887302756,0.04823766465231739,0.25273897498846054,0.00985019097674156,0.2817922607064247,0.010982507086027242,0.055217254906892776,0.00215202465733331,37.950086816446486,22.562406015582383,0.5945284427071318,5.861167524941266,0.15444411374577416,1.5849823653697968,0.041764920671615184,4.7303999999999995,0.12464793619259862,1.697074101306498,0.044718582845798244,1.176355654373765,0.0309974430378369,0.16113195940852165,0.004245891720561009,0.17656919546425343,0.004652669078683988
Nottingham Forest,22,25.15586045252457,16.575504736043513,0.6589122549525052,2.6338098039850593,0.10469965076152812,2.128338700160384,0.0846060783401583,1.5768,0.06268121907321826,1.1572645618580282,0.04600377570236872,0.591204502619803,0.023501660924521123,0.39181627333164215,0.01557554646445499,0.10112187452614307,0.004019813781245347,32.292808476059136,16.39011127781123,0.5075467898669246,4.900176366791129,0.15174203167940517,3.7767282854765654,0.11695261154744443,3.1536,0.0976564179092066,2.707379061728716,0.08383845163965471,0.9053170159459114,0.028034632435797114,0.3396412283182144,0.010517550016438292,0.11985523998737335,0.0037115149051291166
Fulham,22,24.9363005953297,17.11915094126016,0.6865152621903503,4.031235385686159,0.16166132463293958,1.695231854915619,0.06798249196727751,0.7884,0.0316165582374981,0.34216586872935295,0.013721597051706896,0.40644047036767006,0.01629914865735104,0.4475069008767605,0.01794600202086807,0.10616917349398136,0.004257615242008499,30.47880090877861,16.075596037786454,0.5274353176130464,5.780144433490932,0.18964474523753705,3.3619458749890327,0.11030440091954909,2.3651999999999997,0.07760147805941954,1.079505376983434,0.035418236439626834,1.240935243666172,0.04071470027250165,0.3644775114953518,0.011958394051859623,0.21099643036723137,0.006922727406459729
Everton,22,24.575350457841157,13.526335173286498,0.5504025342991886,4.704926960170269,0.19144902809184913,1.49440211430192,0.06080898487553845,0.7884,0.03208092602188908,2.008445165120065,0.08172600299497412,1.7647854555398226,0.07181120198335726,0.2880555894225836,0.011721321733203395,0.0,0.0,31.70736329827905,19.35646648425609,0.6104722837457343,4.748902351595461,0.14977285581652933,2.247459754347801,0.07088131968607382,2.3651999999999997,0.07459466048154101,1.4293624088168144,0.0450798256345205,1.016596870496869,0.032061854558308414,0.4815822243690491,0.015188340318262524,0.06179320439696312,0.001948859759030074
Tottenham Hotspur,22,22.59029862347841,13.330822935327888,0.5901127363351,5.743473598434031,0.25424513832963497,1.1703224144876003,0.05180641628487673,0.0,0.0,0.7285102875903249,0.03224881174581615,0.9511522613465786,0.04210445719199271,0.2578413039445877,0.011413806795657391,0.4081758223474026,0.01806863331692215,29.933306430505215,19.13316415157169,0.6391931407909207,5.178282454609871,0.1729940014021522,1.631391927599907,0.054500892889578864,0.7884,0.026338553738805705,1.7894186899065971,0.05978018813461214,0.6295468788594007,0.0210316518264025,0.3530149385333061,0.01179338271075682,0.43008738942444324,0.014368188506771126
Sunderland,22,20.435981701244415,9.326182175427675,0.4563608595744521,2.506900582462549,0.12267091540358424,1.3238436933606863,0.06478003908567177,2.3651999999999997,0.11573703845389403,1.694830629043281,0.08293365368105009,2.8792379572987556,0.1408906114416529,0.1652030609548092,0.008083930753605511,0.17458360269665718,0.008542951606089283,31.974288631269335,22.157544752582908,0.6929800693333918,4.218175803311169,0.13192399217870304,2.8530516419559717,0.08922955800073133,0.7884,0.024657311663502726,0.6563636874780059,0.020527858963408287,0.9333364889025688,0.029190219043366303,0.330930570140481,0.010349896254356278,0.036485686898231506,0.001141094562540173
Wolverhampton Wanderers,22,20.092295210459085,11.522240083198994,0.5734655977581431,3.1029069582000375,0.154432678083727,1.1213354710489511,0.055809227333333114,2.3651999999999997,0.11771676531851823,0.9793750820681453,0.048743813079071704,0.41128671169281006,0.020469872027298996,0.537080854177475,0.026730686989801765,0.05287005007266998,0.0026313594101060375,30.43002156311795,17.53017735108733,0.5760816604985388,3.9854650776833296,0.13097148384915464,4.1078164000064135,0.13499222770795546,0.7884,0.025908624427514806,1.7631225916557014,0.05794023471191542,1.2488087713718414,0.041038708066031514,0.9181092455983162,0.030171166448041253,0.08812212571501732,0.0028958942908480826
Burnley,22,18.515183155502378,9.369916808791459,0.5060666551390224,2.1228451440110803,0.11465428811489824,1.360651383176446,0.07348841065998772,1.5768,0.08516253859100516,1.6121323723345995,0.0870708303987532,1.571040041744709,0.08485144481424287,0.6080178655683994,0.03283887933820992,0.29377953987568617,0.015866952943880557,44.80906049278528,24.219967195764184,0.5405149523200525,9.190148433670402,0.2050957626114502,4.851809605956078,0.1082774231951877,4.7303999999999995,0.10556793532329567,0.8239481830969453,0.01838798167235864,0.44338812306523323,0.009895055111379166,0.45158078148961067,0.010077889974111817,0.09781816974282265,0.0021829997921641846
