season,team,ref_elo_p10,ref_elo_p50,ref_elo_p90,n_used_p10,n_used_p50,n_used_p90,n_ok_p10,n_ok_p50,n_ok_p90,n_bad_p10,n_bad_p50,n_bad_p90,total_exp_pts_p10,total_exp_pts_p50,total_exp_pts_p90,mean_exp_pts_p10,mean_exp_pts_p50,mean_exp_pts_p90,n_sched
2024/2025,Young Boys,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.397638742037649,11.546353521833872,15.166364168386874,0.7997048427547061,1.443294190229234,1.895795521048359,8
2024/2025,PSV Eindhoven,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.414936650933642,11.479267450408136,15.014822095946435,0.801867081366705,1.434908431301017,1.8768527619933049,8
2024/2025,Manchester City,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.390512069038309,11.391160939520335,14.884653171370285,0.7988140086297885,1.4238951174400418,1.860581646421286,8
2024/2025,Arsenal,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.6571432011834775,11.388179918502747,14.708626628108224,0.8321429001479348,1.4235224898128434,1.8385783285135282,8
2024/2025,Sturm Graz,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.168604850480703,11.314888375328836,14.90911046210092,0.7710756063100878,1.4143610469161045,1.8636388077626147,8
2024/2025,Bayer Leverkusen,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.383837286812134,11.225423973569125,14.695958702027111,0.7979796608515168,1.4031779966961406,1.836994837753389,8
2024/2025,Bologna,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.157224015793443,11.141326942196452,14.698755557636334,0.7696530019741804,1.3926658677745565,1.8373444447045417,8
2024/2025,Girona,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.357150515689789,11.102202746878707,14.516306997275088,0.7946438144612238,1.3877753433598383,1.814538374659386,8
2024/2025,Salzburg,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.217021272170613,11.094418668646016,14.569992655634024,0.7771276590213266,1.386802333580752,1.821249081954253,8
2024/2025,Monaco,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.250040486288541,11.075376935416474,14.486936334712015,0.7812550607860677,1.3844221169270592,1.8108670418390016,8
2024/2025,FK Crvena Zvezda,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.009547814770549,11.070973742005233,14.66849353305103,0.7511934768463184,1.383871717750654,1.8335616916313788,8
2024/2025,Shakhtar Donetsk,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.186328146439356,11.050474875648485,14.58331772689702,0.7732910183049194,1.3813093594560606,1.8229147158621277,8
2024/2025,Slovan Bratislava,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,6.0771704929167125,11.027501584333539,14.568223856380644,0.7596463116145891,1.3784376980416926,1.8210279820475805,8
2024/2025,Benfica,1573.545,1794.12,1939.855,8,8,8,8,8,8,0,0,0,5.819313340490659,10.91906553605103,14.558177006767906,0.7274141675613324,1.3648831920063786,1.8197721258459882,8
